Fund Holdings as of,"27/Aug/2020"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"AAPL","APPLE INC","Equity","7.05","500.04","5,645,041.00","2,822,746,301.64","2,822,746,301.64","Information Technology","US0378331005","NASDAQ","United States","USD"
"MSFT","MICROSOFT CORP","Equity","5.94","226.58","10,507,104.00","2,380,699,624.32","2,380,699,624.32","Information Technology","US5949181045","NASDAQ","United States","USD"
"AMZN","AMAZON COM INC","Equity","4.93","3,400.00","580,496.00","1,973,686,400.00","1,973,686,400.00","Consumer Discretionary","US0231351067","NASDAQ","United States","USD"
"FB","FACEBOOK CLASS A INC","Equity","2.44","293.22","3,331,581.00","976,886,180.82","976,886,180.82","Communication","US30303M1027","NASDAQ","United States","USD"
"GOOGL","ALPHABET INC CLASS A","Equity","1.69","1,628.52","415,726.00","677,018,105.52","677,018,105.52","Communication","US02079K3059","NASDAQ","United States","USD"
"GOOG","ALPHABET INC CLASS C","Equity","1.65","1,634.33","405,207.00","662,241,956.31","662,241,956.31","Communication","US02079K1079","NASDAQ","United States","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.46","216.87","2,693,519.00","584,143,465.53","584,143,465.53","Financials","US0846707026","New York Stock Exchange Inc.","United States","USD"
"JNJ","JOHNSON & JOHNSON","Equity","1.39","152.98","3,650,322.00","558,426,259.56","558,426,259.56","Health Care","US4781601046","New York Stock Exchange Inc.","United States","USD"
"V","VISA INC CLASS A","Equity","1.23","211.03","2,337,543.00","493,291,699.29","493,291,699.29","Information Technology","US92826C8394","New York Stock Exchange Inc.","United States","USD"
"PG","PROCTER & GAMBLE","Equity","1.18","138.21","3,430,087.00","474,072,324.27","474,072,324.27","Consumer Staples","US7427181091","New York Stock Exchange Inc.","United States","USD"
"MA","MASTERCARD INC CLASS A","Equity","1.09","356.00","1,224,537.00","435,935,172.00","435,935,172.00","Information Technology","US57636Q1040","New York Stock Exchange Inc.","United States","USD"
"JPM","JPMORGAN CHASE & CO","Equity","1.08","102.35","4,221,752.00","432,096,317.20","432,096,317.20","Financials","US46625H1005","New York Stock Exchange Inc.","United States","USD"
"NVDA","NVIDIA CORP","Equity","1.07","505.13","852,292.00","430,518,257.96","430,518,257.96","Information Technology","US67066G1040","NASDAQ","United States","USD"
"HD","HOME DEPOT INC","Equity","1.07","288.63","1,490,167.00","430,106,901.21","430,106,901.21","Consumer Discretionary","US4370761029","New York Stock Exchange Inc.","United States","USD"
"UNH","UNITEDHEALTH GROUP INC","Equity","1.02","311.67","1,314,011.00","409,537,808.37","409,537,808.37","Health Care","US91324P1021","New York Stock Exchange Inc.","United States","USD"
"CRM","SALESFORCE.COM INC","Equity","0.86","276.32","1,248,360.00","344,946,835.20","344,946,835.20","Information Technology","US79466L3024","New York Stock Exchange Inc.","United States","USD"
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.85","59.43","5,733,321.00","340,731,267.03","340,731,267.03","Communication","US92343V1044","New York Stock Exchange Inc.","United States","USD"
"ADBE","ADOBE INC","Equity","0.85","510.32","667,548.00","340,663,095.36","340,663,095.36","Information Technology","US00724F1012","NASDAQ","United States","USD"
"DIS","WALT DISNEY","Equity","0.84","133.73","2,502,636.00","334,677,512.28","334,677,512.28","Communication","US2546871060","New York Stock Exchange Inc.","United States","USD"
"PYPL","PAYPAL HOLDINGS INC","Equity","0.83","204.34","1,626,843.00","332,429,098.62","332,429,098.62","Information Technology","US70450Y1038","NASDAQ","United States","USD"
"NFLX","NETFLIX INC","Equity","0.80","526.27","609,365.00","320,690,518.55","320,690,518.55","Communication","US64110L1061","NASDAQ","United States","USD"
"MRK","MERCK & CO INC","Equity","0.75","85.82","3,497,223.00","300,131,677.86","300,131,677.86","Health Care","US58933Y1055","New York Stock Exchange Inc.","United States","USD"
"T","AT&T INC","Equity","0.74","29.90","9,871,902.00","295,169,869.80","295,169,869.80","Communication","US00206R1023","New York Stock Exchange Inc.","United States","USD"
"PFE","PFIZER INC","Equity","0.73","37.86","7,696,387.00","291,385,211.82","291,385,211.82","Health Care","US7170811035","New York Stock Exchange Inc.","United States","USD"
"INTC","INTEL CORPORATION CORP","Equity","0.72","49.40","5,866,327.00","289,796,553.80","289,796,553.80","Information Technology","US4581401001","NASDAQ","United States","USD"
"BAC","BANK OF AMERICA CORP","Equity","0.70","26.05","10,818,291.00","281,816,480.55","281,816,480.55","Financials","US0605051046","New York Stock Exchange Inc.","United States","USD"
"CMCSA","COMCAST CORP CLASS A","Equity","0.70","44.54","6,310,687.00","281,077,998.98","281,077,998.98","Communication","US20030N1019","NASDAQ","United States","USD"
"ABT","ABBOTT LABORATORIES","Equity","0.68","111.29","2,450,797.00","272,749,198.13","272,749,198.13","Health Care","US0028241000","New York Stock Exchange Inc.","United States","USD"
"WMT","WALMART INC","Equity","0.67","136.63","1,961,876.00","268,051,117.88","268,051,117.88","Consumer Staples","US9311421039","New York Stock Exchange Inc.","United States","USD"
"PEP","PEPSICO INC","Equity","0.66","138.40","1,922,426.00","266,063,758.40","266,063,758.40","Consumer Staples","US7134481081","NASDAQ","United States","USD"
"KO","COCA-COLA","Equity","0.64","48.23","5,355,638.00","258,302,420.74","258,302,420.74","Consumer Staples","US1912161007","New York Stock Exchange Inc.","United States","USD"
"CSCO","CISCO SYSTEMS INC","Equity","0.62","42.29","5,875,861.00","248,490,161.69","248,490,161.69","Information Technology","US17275R1023","NASDAQ","United States","USD"
