FTSE All-World UCITS ETF - (USD) Distributing (VWRD)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
Apple Inc.,"=""3.42165%""","$205,146,406","482,652.00"
Microsoft Corp.,"=""3.02163%""","$181,163,237","883,680.00"
Amazon.com Inc.,"=""2.64220%""","$158,414,387","50,057.00"
Facebook Inc. Class A,"=""1.19912%""","$71,893,629","283,414.00"
Alphabet Inc. Class C,"=""0.87537%""","$52,483,437","35,391.00"
Alibaba Group Holding Ltd. ADR,"=""0.86932%""","$52,120,538","207,635.00"
Alphabet Inc. Class A,"=""0.86837%""","$52,063,370","34,990.00"
Tencent Holdings Ltd.,"=""0.78076%""","$46,810,748","679,387.00"
Johnson & Johnson,"=""0.75605%""","$45,329,465","310,987.00"
Taiwan Semiconductor Manufacturing Co. Ltd.,"=""0.68754%""","$41,221,697","2,838,000.00"
Nestle SA,"=""0.67545%""","$40,496,801","340,795.00"
Visa Inc. Class A,"=""0.63098%""","$37,830,576","198,690.00"
Procter & Gamble Co.,"=""0.62911%""","$37,718,766","287,666.00"
JPMorgan Chase & Co.,"=""0.57641%""","$34,558,947","357,605.00"
UnitedHealth Group Inc.,"=""0.56267%""","$33,734,839","111,417.00"
Home Depot Inc.,"=""0.56165%""","$33,673,955","126,837.00"
Mastercard Inc. Class A,"=""0.53556%""","$32,109,643","104,073.00"
Berkshire Hathaway Inc. Class B,"=""0.51693%""","$30,992,953","158,305.00"
NVIDIA Corp.,"=""0.49361%""","$29,594,348","69,701.00"
Roche Holding AG,"=""0.47616%""","$28,548,378","82,159.00"
Verizon Communications Inc.,"=""0.46818%""","$28,069,898","488,342.00"
PayPal Holdings Inc.,"=""0.45286%""","$27,151,578","138,479.00"
Samsung Electronics Co. Ltd.,"=""0.43091%""","$25,835,433","531,612.00"
Adobe Inc.,"=""0.42201%""","$25,301,802","56,945.00"
Pfizer Inc.,"=""0.42128%""","$25,257,733","656,386.00"
Tesla Inc.,"=""0.41685%""","$24,992,516","17,468.00"
Walt Disney Co.,"=""0.41584%""","$24,931,842","213,202.00"
AT&T Inc.,"=""0.41498%""","$24,880,507","841,126.00"
Netflix Inc.,"=""0.40774%""","$24,445,956","50,004.00"
Merck & Co. Inc.,"=""0.39979%""","$23,969,293","298,720.00"
Intel Corp.,"=""0.39831%""","$23,880,846","500,332.00"
Cisco Systems Inc.,"=""0.39430%""","$23,640,668","501,925.00"
Comcast Corp. Class A,"=""0.38092%""","$22,837,994","533,598.00"
Bank of America Corp.,"=""0.37961%""","$22,759,851","914,785.00"
PepsiCo Inc.,"=""0.37591%""","$22,537,695","163,720.00"
Coca-Cola Co.,"=""0.35809%""","$21,469,446","454,476.00"
Walmart Inc.,"=""0.35322%""","$21,177,604","163,660.00"
Exxon Mobil Corp.,"=""0.35121%""","$21,056,790","500,399.00"
Novartis AG,"=""0.34954%""","$20,956,551","252,606.00"
SAP SE,"=""0.34834%""","$20,884,568","132,018.00"
Abbott Laboratories,"=""0.34238%""","$20,527,541","203,970.00"
salesforce.com Inc.,"=""0.33190%""","$19,899,446","102,127.00"
AbbVie Inc.,"=""0.32935%""","$19,746,310","208,053.00"
Thermo Fisher Scientific Inc.,"=""0.32081%""","$19,234,187","46,465.00"
Chevron Corp.,"=""0.30992%""","$18,581,126","221,362.00"
AstraZeneca plc,"=""0.29067%""","$17,427,221","155,661.00"
McDonald's Corp.,"=""0.28523%""","$17,100,914","88,022.00"
Toyota Motor Corp.,"=""0.28489%""","$17,080,550","290,482.00"
Amgen Inc.,"=""0.28384%""","$17,018,022","69,555.00"
Accenture plc Class A,"=""0.28109%""","$16,852,880","74,975.00"
Costco Wholesale Corp.,"=""0.28085%""","$16,838,365","51,726.00"
