FTSE Developed World UCITS ETF - (USD) Distributing (VDEV)
As of 31 August 2020
Holding name,% of funds,Market value,Shares
Apple Inc.,"=""4.39020%""","$32,046,826","248,348.00"
Microsoft Corp.,"=""3.51085%""","$25,627,876","113,634.00"
Amazon.com Inc.,"=""3.04315%""","$22,213,830","6,437.00"
Facebook Inc. Class A,"=""1.46451%""","$10,690,365","36,461.00"
Alphabet Inc. Class A,"=""1.02108%""","$7,453,470","4,574.00"
Alphabet Inc. Class C,"=""1.00295%""","$7,321,126","4,480.00"
Johnson & Johnson,"=""0.84044%""","$6,134,866","39,990.00"
Tesla Inc.,"=""0.76629%""","$5,593,642","11,225.00"
Berkshire Hathaway Inc. Class B,"=""0.74977%""","$5,473,022","25,101.00"
Visa Inc. Class A,"=""0.74232%""","$5,418,676","25,561.00"
Nestle SA,"=""0.72176%""","$5,268,557","43,700.00"
Procter & Gamble Co.,"=""0.70023%""","$5,111,432","36,951.00"
Mastercard Inc. Class A,"=""0.65645%""","$4,791,866","13,378.00"
NVIDIA Corp.,"=""0.65637%""","$4,791,281","8,956.00"
Home Depot Inc.,"=""0.63645%""","$4,645,867","16,299.00"
JPMorgan Chase & Co.,"=""0.63154%""","$4,610,042","46,013.00"
UnitedHealth Group Inc.,"=""0.61327%""","$4,476,654","14,323.00"
Adobe Inc.,"=""0.51250%""","$3,741,073","7,287.00"
Verizon Communications Inc.,"=""0.51006%""","$3,723,282","62,819.00"
Roche Holding AG,"=""0.50840%""","$3,711,127","10,585.00"
PayPal Holdings Inc.,"=""0.49818%""","$3,636,550","17,814.00"
Walt Disney Co.,"=""0.49609%""","$3,621,282","27,461.00"
salesforce.com Inc.,"=""0.49053%""","$3,580,712","13,133.00"
Netflix Inc.,"=""0.46843%""","$3,419,369","6,457.00"
Intel Corp.,"=""0.44921%""","$3,279,091","64,359.00"
Merck & Co. Inc.,"=""0.44805%""","$3,270,616","38,356.00"
Samsung Electronics Co. Ltd.,"=""0.44609%""","$3,256,274","71,632.00"
AT&T Inc.,"=""0.44184%""","$3,225,233","108,193.00"
Pfizer Inc.,"=""0.43733%""","$3,192,348","84,476.00"
Comcast Corp. Class A,"=""0.42256%""","$3,084,496","68,835.00"
Bank of America Corp.,"=""0.41475%""","$3,027,487","117,618.00"
PepsiCo Inc.,"=""0.40374%""","$2,947,143","21,042.00"
Walmart Inc.,"=""0.40192%""","$2,933,900","21,130.00"
Coca-Cola Co.,"=""0.39802%""","$2,905,430","58,660.00"
Abbott Laboratories,"=""0.39345%""","$2,872,055","26,236.00"
