Holding name,% of funds,Market value,Shares
Apple Inc.,"=""3.86409%""","$23,719,782","55,806.00"
Microsoft Corp.,"=""3.41227%""","$20,946,282","102,172.00"
Amazon.com Inc.,"=""2.98346%""","$18,314,003","5,787.00"
Facebook Inc. Class A,"=""1.35465%""","$8,315,556","32,781.00"
Alphabet Inc. Class A,"=""0.99867%""","$6,130,354","4,120.00"
Alphabet Inc. Class C,"=""0.97068%""","$5,958,533","4,018.00"
Johnson & Johnson,"=""0.85352%""","$5,239,343","35,945.00"
Nestle SA,"=""0.76087%""","$4,670,628","39,305.00"
Visa Inc. Class A,"=""0.71330%""","$4,378,629","22,997.00"
Procter & Gamble Co.,"=""0.70950%""","$4,355,282","33,216.00"
Berkshire Hathaway Inc. Class B,"=""0.70393%""","$4,321,060","22,071.00"
JPMorgan Chase & Co.,"=""0.65150%""","$3,999,253","41,383.00"
UnitedHealth Group Inc.,"=""0.63525%""","$3,899,504","12,879.00"
Home Depot Inc.,"=""0.63413%""","$3,892,614","14,662.00"
Mastercard Inc. Class A,"=""0.60469%""","$3,711,924","12,031.00"
NVIDIA Corp.,"=""0.55667%""","$3,417,100","8,048.00"
Roche Holding AG,"=""0.53725%""","$3,297,906","9,491.00"
Verizon Communications Inc.,"=""0.52879%""","$3,246,011","56,472.00"
PayPal Holdings Inc.,"=""0.51169%""","$3,141,041","16,020.00"
Samsung Electronics Co. Ltd.,"=""0.50228%""","$3,083,221","63,443.00"
Pfizer Inc.,"=""0.47623%""","$2,923,364","75,971.00"
Adobe Inc.,"=""0.47468%""","$2,913,851","6,558.00"
Walt Disney Co.,"=""0.47058%""","$2,888,652","24,702.00"
Tesla Inc.,"=""0.47035%""","$2,887,274","2,018.00"
AT&T Inc.,"=""0.46898%""","$2,878,844","97,324.00"
Netflix Inc.,"=""0.46240%""","$2,838,437","5,806.00"
Merck & Co. Inc.,"=""0.45093%""","$2,768,039","34,497.00"
Intel Corp.,"=""0.44967%""","$2,760,321","57,832.00"
Cisco Systems Inc.,"=""0.44516%""","$2,732,601","58,017.00"
Comcast Corp. Class A,"=""0.43156%""","$2,649,149","61,896.00"
Bank of America Corp.,"=""0.42885%""","$2,632,528","105,809.00"
PepsiCo Inc.,"=""0.42445%""","$2,605,491","18,927.00"
Coca-Cola Co.,"=""0.40614%""","$2,493,091","52,775.00"
Walmart Inc.,"=""0.40027%""","$2,457,047","18,988.00"
Exxon Mobil Corp.,"=""0.39795%""","$2,442,828","58,052.00"
Novartis AG,"=""0.39716%""","$2,437,987","29,387.00"
SAP SE,"=""0.39473%""","$2,423,070","15,317.00"
Abbott Laboratories,"=""0.38621%""","$2,370,776","23,557.00"
salesforce.com Inc.,"=""0.37519%""","$2,303,127","11,820.00"
AbbVie Inc.,"=""0.37117%""","$2,278,409","24,006.00"
Thermo Fisher Scientific Inc.,"=""0.36273%""","$2,226,637","5,379.00"
Chevron Corp.,"=""0.34997%""","$2,148,276","25,593.00"
AstraZeneca plc,"=""0.32638%""","$2,003,457","17,895.00"
McDonald's Corp.,"=""0.32194%""","$1,976,216","10,172.00"
Toyota Motor Corp.,"=""0.32093%""","$1,970,059","33,504.00"
Amgen Inc.,"=""0.31986%""","$1,963,477","8,025.00"
Costco Wholesale Corp.,"=""0.31845%""","$1,954,808","6,005.00"
Accenture plc Class A,"=""0.31759%""","$1,949,517","8,673.00"
ASML Holding NV,"=""0.31372%""","$1,925,784","5,434.00"
