Holding name,% of funds,Market value,Shares
Apple Inc.,"=""6.39147%""","$1,651,548,175","3,885,630.00"
Microsoft Corp.,"=""5.73631%""","$1,482,256,537","7,230,167.00"
Amazon.com Inc.,"=""4.89234%""","$1,264,175,732","399,464.00"
Facebook Inc. Class A,"=""2.24983%""","$581,353,550","2,291,771.00"
Alphabet Inc. Class A,"=""1.62600%""","$420,155,417","282,372.00"
Alphabet Inc. Class C,"=""1.62400%""","$419,639,123","282,974.00"
Johnson & Johnson,"=""1.41584%""","$365,850,312","2,509,950.00"
Berkshire Hathaway Inc. Class B,"=""1.40457%""","$362,938,334","1,853,807.00"
Procter & Gamble Co.,"=""1.19929%""","$309,896,482","2,363,457.00"
Visa Inc. Class A,"=""1.18752%""","$306,853,210","1,611,624.00"
JPMorgan Chase & Co.,"=""1.08724%""","$280,940,888","2,907,087.00"
UnitedHealth Group Inc.,"=""1.05888%""","$273,614,414","903,674.00"
Home Depot Inc.,"=""1.05412%""","$272,383,713","1,025,966.00"
Mastercard Inc. Class A,"=""1.00513%""","$259,723,331","841,809.00"
NVIDIA Corp.,"=""0.96313%""","$248,872,155","586,147.00"
Verizon Communications Inc.,"=""0.87586%""","$226,320,545","3,937,379.00"
PayPal Holdings Inc.,"=""0.84885%""","$219,342,921","1,118,697.00"
Netflix Inc.,"=""0.79326%""","$204,978,095","419,281.00"
Adobe Inc.,"=""0.78943%""","$203,987,312","459,100.00"
Pfizer Inc.,"=""0.78765%""","$203,529,032","5,289,216.00"
AT&T Inc.,"=""0.77969%""","$201,470,060","6,811,023.00"
Walt Disney Co.,"=""0.77875%""","$201,227,078","1,720,772.00"
Merck & Co. Inc.,"=""0.74929%""","$193,614,707","2,412,945.00"
Intel Corp.,"=""0.74636%""","$192,858,315","4,040,610.00"
Cisco Systems Inc.,"=""0.73601%""","$190,183,489","4,037,866.00"
Comcast Corp. Class A,"=""0.71830%""","$185,609,134","4,336,662.00"
Bank of America Corp.,"=""0.71777%""","$185,470,821","7,454,615.00"
PepsiCo Inc.,"=""0.70404%""","$181,923,196","1,321,540.00"
Walmart Inc.,"=""0.67494%""","$174,404,932","1,347,797.00"
Coca-Cola Co.,"=""0.67280%""","$173,850,758","3,680,160.00"
Abbott Laboratories,"=""0.65643%""","$169,620,870","1,685,422.00"
Exxon Mobil Corp.,"=""0.65575%""","$169,444,840","4,026,731.00"
salesforce.com Inc.,"=""0.64760%""","$167,339,713","858,813.00"
AbbVie Inc.,"=""0.61666%""","$159,345,158","1,678,908.00"
Thermo Fisher Scientific Inc.,"=""0.60492%""","$156,310,418","377,607.00"
Chevron Corp.,"=""0.57899%""","$149,611,214","1,782,359.00"
McDonald's Corp.,"=""0.53366%""","$137,897,807","709,789.00"
Amgen Inc.,"=""0.53235%""","$137,557,389","562,216.00"
Costco Wholesale Corp.,"=""0.52949%""","$136,820,910","420,302.00"
Accenture plc Class A,"=""0.52678%""","$136,118,901","605,565.00"
NextEra Energy Inc.,"=""0.50715%""","$131,047,602","466,860.00"
Bristol-Myers Squibb Co.,"=""0.49140%""","$126,978,310","2,164,649.00"
Linde plc,"=""0.47723%""","$123,315,576","503,103.00"
Medtronic plc,"=""0.47683%""","$123,211,907","1,277,072.00"
Danaher Corp.,"=""0.47256%""","$122,109,216","599,162.00"
Broadcom Inc.,"=""0.46630%""","$120,491,700","380,400.00"
Eli Lilly and Co.,"=""0.46626%""","$120,480,429","801,653.00"
NIKE Inc. Class B,"=""0.44609%""","$115,269,016","1,180,914.00"
Philip Morris International Inc.,"=""0.44103%""","$113,961,768","1,483,684.00"
QUALCOMM Inc.,"=""0.43923%""","$113,496,955","1,074,680.00"
Union Pacific Corp.,"=""0.43463%""","$112,308,611","647,872.00"
Texas Instruments Inc.,"=""0.43328%""","$111,958,416","877,761.00"
American Tower Corp.,"=""0.42755%""","$110,477,268","422,653.00"
Oracle Corp.,"=""0.42723%""","$110,396,459","1,990,919.00"
Lowe's Cos. Inc.,"=""0.41516%""","$107,277,593","720,419.00"
International Business Machines Corp.,"=""0.40166%""","$103,788,284","844,219.00"
Honeywell International Inc.,"=""0.38821%""","$100,313,158","671,575.00"
Citigroup Inc.,"=""0.38442%""","$99,332,913","1,986,261.00"
United Parcel Service Inc. Class B,"=""0.36983%""","$95,563,544","669,400.00"
Lockheed Martin Corp.,"=""0.34501%""","$89,149,282","235,241.00"
Wells Fargo & Co.,"=""0.33430%""","$86,382,800","3,560,709.00"
Advanced Micro Devices Inc.,"=""0.33426%""","$86,373,552","1,115,505.00"
Fidelity National Information Services Inc.,"=""0.33259%""","$85,940,885","587,389.00"
Starbucks Corp.,"=""0.33038%""","$85,370,746","1,115,520.00"
BlackRock Inc.,"=""0.32622%""","$84,294,741","146,597.00"
Charter Communications Inc. Class A,"=""0.32391%""","$83,699,220","144,309.00"
Gilead Sciences Inc.,"=""0.32220%""","$83,257,169","1,197,428.00"
3M Co.,"=""0.31829%""","$82,245,397","546,590.00"
S&P Global Inc.,"=""0.31264%""","$80,786,213","230,653.00"
Boeing Co.,"=""0.31245%""","$80,737,526","510,997.00"
ServiceNow Inc.,"=""0.30901%""","$79,848,317","181,804.00"
Raytheon Technologies Corp.,"=""0.30672%""","$79,256,041","1,398,307.00"
Becton Dickinson and Co.,"=""0.30588%""","$79,038,816","280,937.00"
CVS Health Corp.,"=""0.30292%""","$78,275,268","1,243,649.00"
Intuitive Surgical Inc.,"=""0.29436%""","$76,062,591","110,969.00"
Intuit Inc.,"=""0.29430%""","$76,047,468","248,221.00"
Mondelez International Inc. Class A,"=""0.29299%""","$75,709,280","1,364,377.00"
Prologis Inc.,"=""0.28721%""","$74,213,677","703,981.00"
Altria Group Inc.,"=""0.28193%""","$72,850,726","1,770,370.00"
Caterpillar Inc.,"=""0.26601%""","$68,737,097","517,287.00"
Zoetis Inc.,"=""0.26500%""","$68,476,694","451,455.00"
Vertex Pharmaceuticals Inc.,"=""0.25993%""","$67,165,232","246,931.00"
Equinix Inc.,"=""0.25666%""","$66,320,433","84,433.00"
Crown Castle International Corp.,"=""0.25638%""","$66,247,914","397,408.00"
Anthem Inc.,"=""0.25461%""","$65,790,033","240,285.00"
Booking Holdings Inc.,"=""0.25171%""","$65,040,809","39,131.00"
Dominion Energy Inc.,"=""0.25118%""","$64,903,571","800,982.00"
Colgate-Palmolive Co.,"=""0.24350%""","$62,921,320","815,043.00"
Cigna Corp.,"=""0.23609%""","$61,005,333","353,265.00"
Regeneron Pharmaceuticals Inc.,"=""0.23518%""","$60,771,002","96,146.00"
Activision Blizzard Inc.,"=""0.23472%""","$60,650,172","733,997.00"
Target Corp.,"=""0.23273%""","$60,138,037","477,741.00"
Air Products & Chemicals Inc.,"=""0.23244%""","$60,063,030","209,549.00"
T-Mobile US Inc.,"=""0.23070%""","$59,612,329","555,153.00"
TJX Cos. Inc.,"=""0.23014%""","$59,467,306","1,143,822.00"
Stryker Corp.,"=""0.22949%""","$59,300,767","306,781.00"
Duke Energy Corp.,"=""0.22945%""","$59,288,765","699,655.00"
American Express Co.,"=""0.22756%""","$58,801,865","630,110.00"
Goldman Sachs Group Inc.,"=""0.22694%""","$58,642,087","296,232.00"
CME Group Inc.,"=""0.21931%""","$56,668,377","341,006.00"
Marsh & McLennan Cos. Inc.,"=""0.21806%""","$56,347,533","483,255.00"
Applied Materials Inc.,"=""0.21796%""","$56,319,757","875,482.00"
Morgan Stanley,"=""0.21460%""","$55,451,183","1,134,435.00"
Southern Co.,"=""0.21276%""","$54,977,798","1,006,735.00"
Chubb Ltd.,"=""0.21149%""","$54,648,817","429,494.00"
Automatic Data Processing Inc.,"=""0.21079%""","$54,467,050","409,804.00"
Fiserv Inc.,"=""0.20856%""","$53,890,592","540,040.00"
Illumina Inc.,"=""0.20681%""","$53,438,579","139,833.00"
Newmont Corp.,"=""0.20578%""","$53,174,318","768,415.00"
Micron Technology Inc.,"=""0.20468%""","$52,888,614","1,056,610.00"
Deere & Co.,"=""0.20358%""","$52,604,381","298,363.00"
Boston Scientific Corp.,"=""0.20278%""","$52,398,425","1,358,528.00"
CSX Corp.,"=""0.20211%""","$52,224,162","732,046.00"
Lam Research Corp.,"=""0.20124%""","$51,999,804","137,872.00"
Illinois Tool Works Inc.,"=""0.19727%""","$50,975,104","275,556.00"
Intercontinental Exchange Inc.,"=""0.19650%""","$50,776,304","524,657.00"
Global Payments Inc.,"=""0.19621%""","$50,700,808","284,804.00"
General Electric Co.,"=""0.19538%""","$50,486,132","8,317,320.00"
Progressive Corp.,"=""0.19431%""","$50,208,894","555,777.00"
Sherwin-Williams Co.,"=""0.19428%""","$50,200,842","77,480.00"
Kimberly-Clark Corp.,"=""0.19128%""","$49,427,140","325,093.00"
Humana Inc.,"=""0.19108%""","$49,373,742","125,809.00"
Autodesk Inc.,"=""0.19082%""","$49,307,004","208,548.00"
Northrop Grumman Corp.,"=""0.18691%""","$48,296,161","148,599.00"
US Bancorp,"=""0.18677%""","$48,261,137","1,310,020.00"
Truist Financial Corp.,"=""0.18486%""","$47,768,056","1,275,175.00"
Norfolk Southern Corp.,"=""0.18233%""","$47,115,092","245,123.00"
Edwards Lifesciences Corp.,"=""0.17995%""","$46,499,953","593,036.00"
Dollar General Corp.,"=""0.17728%""","$45,808,336","240,590.00"
Aon plc Class A,"=""0.17574%""","$45,411,287","221,281.00"
Ecolab Inc.,"=""0.17009%""","$43,952,201","234,938.00"
PNC Financial Services Group Inc.,"=""0.16748%""","$43,277,299","405,712.00"
Moody's Corp.,"=""0.16748%""","$43,276,598","153,845.00"
Biogen Inc.,"=""0.16606%""","$42,909,600","156,211.00"
Roper Technologies Inc.,"=""0.16554%""","$42,775,792","98,915.00"
Estee Lauder Cos. Inc. Class A,"=""0.16326%""","$42,185,655","213,555.00"
Baxter International Inc.,"=""0.16174%""","$41,792,976","483,827.00"
Digital Realty Trust Inc.,"=""0.15898%""","$41,080,099","255,887.00"
American Electric Power Co. Inc.,"=""0.15867%""","$41,001,365","471,931.00"
Waste Management Inc.,"=""0.15689%""","$40,541,478","369,904.00"
Analog Devices Inc.,"=""0.15504%""","$40,062,666","348,826.00"
Electronic Arts Inc.,"=""0.15165%""","$39,186,396","276,701.00"
ConocoPhillips,"=""0.14860%""","$38,396,950","1,026,931.00"
