FTSE All-World High Dividend Yield UCITS ETF (USD)   Distributing (VHYL)

Holding details 
As at date 31 July 2020


Holding name,% of funds,Market value,Shares,
"=""Johnson & Johnson""","=""2.01106%""","=""$21,769,548""","=""149,352""",
"=""Taiwan Semiconductor Manufacturing Co. Ltd.""","=""1.82754%""","=""$19,782,929""","=""1,362,000""",
"=""Nestle SA""","=""1.79041%""","=""$19,380,998""","=""163,098""",
"=""Procter & Gamble Co.""","=""1.67081%""","=""$18,086,431""","=""137,938""",
"=""JPMorgan Chase & Co.""","=""1.53058%""","=""$16,568,348""","=""171,444""",
"=""Roche Holding AG""","=""1.26579%""","=""$13,702,068""","=""39,433""",
"=""Verizon Communications Inc.""","=""1.24434%""","=""$13,469,921""","=""234,341""",
"=""Samsung Electronics Co. Ltd.""","=""1.18166%""","=""$12,791,361""","=""263,206""",
"=""Pfizer Inc.""","=""1.12035%""","=""$12,127,665""","=""315,168""",
"=""AT&T Inc.""","=""1.10291%""","=""$11,938,873""","=""403,613""",
"=""Merck & Co. Inc.""","=""1.06124%""","=""$11,487,881""","=""143,169""",
"=""Cisco Systems Inc.""","=""1.04590%""","=""$11,321,804""","=""240,378""",
"=""PepsiCo Inc.""","=""0.99935%""","=""$10,817,873""","=""78,584""",
"=""Coca-Cola Co.""","=""0.95522%""","=""$10,340,222""","=""218,887""",
"=""Novartis AG""","=""0.93468%""","=""$10,117,808""","=""121,958""",
"=""Exxon Mobil Corp.""","=""0.93199%""","=""$10,088,722""","=""239,751""",
"=""AbbVie Inc.""","=""0.87536%""","=""$9,475,719""","=""99,839""",
"=""Chevron Corp.""","=""0.82119%""","=""$8,889,330""","=""105,901""",
"=""AstraZeneca plc""","=""0.77033%""","=""$8,338,725""","=""74,482""",
"=""Toyota Motor Corp.""","=""0.75667%""","=""$8,190,940""","=""139,300""",
"=""Amgen Inc.""","=""0.75427%""","=""$8,164,883""","=""33,371""",
"=""Bristol-Myers Squibb Co.""","=""0.69537%""","=""$7,527,369""","=""128,322""",
"=""Broadcom Inc.""","=""0.64711%""","=""$7,004,926""","=""22,115""",
"=""Philip Morris International Inc.""","=""0.62490%""","=""$6,764,503""","=""88,068""",
"=""QUALCOMM Inc.""","=""0.62218%""","=""$6,735,067""","=""63,773""",
