Name,Ticker,Weight,Country,Sector
Cash,None,30.0,None,None
Bonds,None,5.0,None,None
MPW,MPW,4.35243,U.S.,Reits
Mutual Fund,None,3.0,None,None
Alibaba,Alibaba,1.76211,China,eCommerce
Apple Inc.,None,1.4982327,None,None
Microsoft Corp.,None,1.3396401,None,None
Alphabet A,GOOGL,1.3348049999999998,U.S.,Technology
Dropbox,Dropbox,1.32159,U.S.,Technology
Beyond Meat,Beyond Meat,1.268715,U.S.,Consumer
APPLE INC,AAPL,1.2636,United States,Information Technology
Coca-Cola,KO,1.1497799999999998,U.S.,Consumer
Amazon.com Inc.,None,1.1491326000000002,None,None
Alphabet C,GOOG,1.07049,U.S.,Technology
Xpeng,Xpeng,1.01322,Germany,Finance
MICROSOFT CORP,MSFT,1.0017000000000003,United States,Information Technology
Bitcoin,None,1.0,None,None
Gold,None,1.0,None,None
AMAZON COM INC,AMZN,0.9882000000000002,United States,Consumer Discretionary
Alibaba Group Holding Ltd. Sponsored ADR,None,0.7387047900000001,China,Consumer Discretionary
Virgin Galactic,Virgin Galactic,0.660795,U.S.,Technology
Tesla,Tesla,0.634365,U.S.,Technology
Tencent Holdings Ltd.,None,0.5665901400000001,China,Communication Services
Facebook Inc. Class A,None,0.5268879000000001,None,None
Taiwan Semiconductor Manufacturing Co. Ltd.,None,0.51171336,Taiwan,Information Technology
FACEBOOK CLASS A INC,FB,0.41130000000000005,United States,Communication
Alphabet Inc. Class A,None,0.38256029999999996,None,None
Alphabet Inc. Class C,None,0.37968120000000005,None,None
Samsung Electronics Co. Ltd.,None,0.35299512000000005,None,None
Johnson & Johnson,None,0.331668,None,None
ALPHABET INC CLASS A,GOOGL,0.3267,United States,Communication
ALPHABET INC CLASS C,GOOG,0.3204,United States,Communication
Berkshire Hathaway Inc. Class B,None,0.3161763,None,None
TESLA INC,TSLA,0.3087000000000001,United States,Consumer Discretionary
Procter & Gamble Co.,None,0.2797272,None,None
Visa Inc. Class A,None,0.2779506,None,None
JPMorgan Chase & Co.,None,0.2543382,None,None
UnitedHealth Group Inc.,None,0.24777090000000002,None,None
Home Depot Inc.,None,0.24681329999999999,None,None
Mastercard Inc. Class A,None,0.23534550000000004,None,None
NVIDIA CORP,NVDA,0.2313,United States,Information Technology
NVIDIA Corp.,None,0.22346370000000002,None,None
Apple,APPL,0.22025999999999998,U.S.,Technology
Intel,Intel,0.21145499999999998,U.S.,Chips
Verizon Communications Inc.,None,0.2052459,None,None
PayPal Holdings Inc.,None,0.1988451,None,None
Adobe Inc.,None,0.1848186,None,None
Pfizer Inc.,None,0.18463770000000002,None,None
Netflix Inc.,None,0.1844028,None,None
ADOBE INC,ADBE,0.1827,United States,Information Technology
AT&T Inc.,None,0.1825524,None,None
Walt Disney Co.,None,0.1825272,None,None
PAYPAL HOLDINGS INC,PYPL,0.1782,United States,Information Technology
Meituan Dianping Class B,None,0.17806112999999998,China,Consumer Discretionary
Merck & Co. Inc.,None,0.17545590000000003,None,None
Intel Corp.,None,0.17481510000000003,None,None
Cisco Systems Inc.,None,0.1725462,None,None
NETFLIX INC,NFLX,0.1719,United States,Communication
Comcast Corp. Class A,None,0.16813440000000002,None,None
Bank of America Corp.,None,0.1677951,None,None
PepsiCo Inc.,None,0.1649277,None,None
Coca-Cola Co.,None,0.1576566,None,None
Walmart Inc.,None,0.15751350000000003,None,None
INTEL CORPORATION CORP,INTC,0.1557,United States,Information Technology
Exxon Mobil Corp.,None,0.1538505,None,None
Abbott Laboratories,None,0.1529163,None,None
COMCAST CORP CLASS A,CMCSA,0.1512,United States,Communication
salesforce.com Inc.,None,0.1503351,None,None
AbbVie Inc.,None,0.1444041,None,None
PEPSICO INC,PEP,0.14220000000000002,United States,Consumer Staples
Thermo Fisher Scientific Inc.,None,0.1415313,None,None
Chevron Corp.,None,0.13571550000000002,None,None
CISCO SYSTEMS INC,CSCO,0.13320000000000004,United States,Information Technology
McDonald's Corp.,None,0.12503340000000002,None,None
Amgen Inc.,None,0.12461040000000001,None,None
Costco Wholesale Corp.,None,0.1239687,None,None
Accenture plc Class A,None,0.12340350000000001,None,None
Naspers Limited Class N,None,0.12052026,South Africa,Consumer Discretionary
NextEra Energy Inc.,None,0.1186884,None,None
Bristol-Myers Squibb Co.,None,0.1149876,None,None
COSTCO WHOLESALE CORP,COST,0.1134,United States,Consumer Staples
Reliance Industries Limited,None,0.11277054,India,Energy
Medtronic plc,None,0.1116873,None,None
Linde plc,None,0.11162160000000002,None,None
AMGEN INC,AMGN,0.1107,United States,Health Care
Danaher Corp.,None,0.1104264,None,None
Eli Lilly and Co.,None,0.10923840000000001,None,None
Broadcom Inc.,None,0.1086678,None,None
T MOBILE US INC,TMUS,0.1062,United States,Communication
NIKE Inc. Class B,None,0.10394550000000001,None,None
Philip Morris International Inc.,None,0.10332090000000002,None,None
QUALCOMM Inc.,None,0.1028358,None,None
Union Pacific Corp.,None,0.1017738,None,None
Texas Instruments Inc.,None,0.10140930000000002,None,None
BROADCOM INC,AVGO,0.10080000000000003,United States,Information Technology
American Tower Corp.,None,0.10003410000000001,None,None
Oracle Corp.,None,0.0987948,None,None
Lowe's Cos. Inc.,None,0.0972621,None,None
QUALCOMM INC,QCOM,0.0972,United States,Information Technology
China Construction Bank Corporation Class H,None,0.09695268000000001,China,Financials
TEXAS INSTRUMENT INC,TXN,0.09630000000000002,United States,Information Technology
CHARTER COMMUNICATIONS INC CLASS A,CHTR,0.09450000000000001,United States,Communication
International Business Machines Corp.,None,0.09417600000000002,None,None
JD.com Inc. Sponsored ADR Class A,None,0.09323279999999999,China,Consumer Discretionary
Honeywell International Inc.,None,0.09091260000000001,None,None
Citigroup Inc.,None,0.09014670000000001,None,None
Ping An Insurance (Group) Company of China Ltd. Class H,None,0.08965727999999999,China,Financials
United Parcel Service Inc. Class B,None,0.0866988,None,None
Lockheed Martin Corp.,None,0.08087130000000001,None,None
Wells Fargo & Co.,None,0.07850970000000002,None,None
Advanced Micro Devices Inc.,None,0.0782307,None,None
Fidelity National Information Services Inc.,None,0.0779283,None,None
Starbucks Corp.,None,0.07742700000000001,None,None
BlackRock Inc.,None,0.07563150000000002,None,None
Charter Communications Inc. Class A,None,0.0756261,None,None
Gilead Sciences Inc.,None,0.0754731,None,None
3M Co.,None,0.07423740000000001,None,None
Boeing Co.,None,0.07315650000000001,None,None
S&P Global Inc.,None,0.07306739999999999,None,None
ADVANCED MICRO DEVICES INC,AMD,0.07290000000000002,United States,Information Technology
STARBUCKS CORP,SBUX,0.07290000000000002,United States,Consumer Discretionary
ServiceNow Inc.,None,0.07232580000000001,None,None
Raytheon Technologies Corp.,None,0.0714375,None,None
CVS Health Corp.,None,0.0709956,None,None
Becton Dickinson and Co.,None,0.0702342,None,None
Intuitive Surgical Inc.,None,0.06881310000000002,None,None
Nestle SA,None,0.0684783,None,None
Intuit Inc.,None,0.06841259999999999,None,None
Mondelez International Inc. Class A,None,0.0683838,None,None
Prologis Inc.,None,0.06724710000000002,None,None
INTUIT INC,INTU,0.06660000000000002,United States,Information Technology
Altria Group Inc.,None,0.0660888,None,None
Infosys Limited,None,0.06428025000000001,India,Information Technology
China Mobile Limited,None,0.06405048,China,Communication Services
Caterpillar Inc.,None,0.06231600000000001,None,None
Zoetis Inc.,None,0.06213330000000001,None,None
MONDELEZ INTERNATIONAL INC CLASS A,MDLZ,0.061200000000000004,United States,Consumer Staples
GILEAD SCIENCES INC,GILD,0.061200000000000004,United States,Health Care
INTUITIVE SURGICAL INC,ISRG,0.061200000000000004,United States,Health Care
Vertex Pharmaceuticals Inc.,None,0.060893100000000006,None,None
Crown Castle International Corp.,None,0.060011100000000005,None,None
Equinix Inc.,None,0.060006600000000014,None,None
Anthem Inc.,None,0.0596754,None,None
Booking Holdings Inc.,None,0.058978800000000005,None,None
Dominion Energy Inc.,None,0.058795200000000006,None,None
NetEase Inc. Sponsored ADR,None,0.05796999,China,Communication Services
BOOKING HOLDINGS INC,BKNG,0.0576,United States,Consumer Discretionary
Housing Development Finance Corporation Limited,None,0.05735502,India,Financials
Colgate-Palmolive Co.,None,0.056817900000000005,None,None
Vale S.A.,None,0.05569497000000001,Brazil,Materials
Cigna Corp.,None,0.055021499999999994,None,None
JD.COM ADR REPRESENTING INC,JD,0.054900000000000004,China,Consumer Discretionary
Activision Blizzard Inc.,None,0.05483700000000002,None,None
Stryker Corp.,None,0.054727200000000004,None,None
Regeneron Pharmaceuticals Inc.,None,0.054546300000000006,None,None
Target Corp.,None,0.05449140000000001,None,None
Air Products & Chemicals Inc.,None,0.0544842,None,None
NAVER Corp.,None,0.05433228000000001,None,None
Goldman Sachs Group Inc.,None,0.05404050000000001,None,None
TJX Cos. Inc.,None,0.05395500000000001,None,None
Duke Energy Corp.,None,0.053726399999999994,None,None
T-Mobile US Inc.,None,0.053321400000000005,None,None
American Express Co.,None,0.053234100000000006,None,None
SK hynix Inc,None,0.052631279999999996,South Korea,Information Technology
VERTEX PHARMACEUTICALS INC,VRTX,0.0522,United States,Health Care
CME Group Inc.,None,0.051280200000000005,None,None
Applied Materials Inc.,None,0.05105070000000001,None,None
